Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"setText(findTestObject(""Object Repository/Sprint1/Staff-Assing-And-Draft/Page_PettyCashDetail/input_Lihat Dokumen_b3-b3-b8-l3_0-198_1-Tan_91eb6f""), ""26-02-2022"")",Chrome 145.0.7632.160,,,11-03-2026 11:14:39,11-03-2026 11:14:40,0.877s,PASSED
"setText(findTestObject(""Object Repository/Sprint1/Staff-Assing-And-Draft/Page_PettyCashDetail/input_Lihat Dokumen_b3-b3-b8-l3_0-198_1-b4-_06f58d""), ""5000"")",Chrome 145.0.7632.160,,,11-03-2026 11:14:40,11-03-2026 11:14:41,1.015s,PASSED
"setText(findTestObject(""Object Repository/Sprint1/Staff-Assing-And-Draft/Page_PettyCashDetail/input_Lihat Dokumen_b3-b3-b8-l3_0-198_1-Inp_595912""), ""26-02-2022"")",Chrome 145.0.7632.160,,,11-03-2026 11:14:41,11-03-2026 11:14:42,0.982s,PASSED
"setText(findTestObject(""Object Repository/Sprint1/Staff-Assing-And-Draft/Page_PettyCashDetail/input_Lihat Dokumen_b3-b3-b8-l3_0-198_1-b5-_447ccf""), ""5000"")",Chrome 145.0.7632.160,,,11-03-2026 11:14:42,11-03-2026 11:14:43,0.834s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/Sprint1/Staff-Assing-And-Draft/Page_PettyCashDetail/select_Pilih OpsiSesuaiTidak Sesuai_3""), ""0"", true)",Chrome 145.0.7632.160,,,11-03-2026 11:14:43,11-03-2026 11:14:44,1.353s,PASSED
"setText(findTestObject(""Object Repository/Sprint1/Staff-Assing-And-Draft/Page_PettyCashDetail/input__b3-b3-b8-b8-b22-Input_Mask""), ""1000000"")",Chrome 145.0.7632.160,,,11-03-2026 11:14:44,11-03-2026 11:14:46,1.290s,PASSED
"click(findTestObject(""Object Repository/Sprint1/Staff-Assing-And-Draft/Page_PettyCashDetail/button_Unggah_4""))",Chrome 145.0.7632.160,,,11-03-2026 11:14:46,11-03-2026 11:14:46,0.586s,PASSED
"uploadFile(findTestObject(""Object Repository/Sprint1/Staff-Assing-And-Draft/Page_PettyCashDetail/div_Drag  drop files orBrowseSupported form_a30bce_2""), Lorem1)",Chrome 145.0.7632.160,,,11-03-2026 11:14:46,11-03-2026 11:14:47,0.605s,PASSED
"click(findTestObject(""Object Repository/Sprint1/Staff-Assing-And-Draft/Page_PettyCashDetail/button_Unggah_3""))",Chrome 145.0.7632.160,,,11-03-2026 11:14:47,11-03-2026 11:14:48,0.880s,PASSED
"setText(findTestObject(""Object Repository/Sprint1/Staff-Assing-And-Draft/Page_PettyCashDetail/input__b3-b3-b8-b8-b24-Input_Mask""), ""1000000"")",Chrome 145.0.7632.160,,,11-03-2026 11:14:48,11-03-2026 11:14:49,1.493s,PASSED
"click(findTestObject(""Object Repository/Sprint1/Staff-Assing-And-Draft/Page_PettyCashDetail/button_Unggah_5""))",Chrome 145.0.7632.160,,,11-03-2026 11:14:49,11-03-2026 11:14:50,0.486s,PASSED
"uploadFile(findTestObject(""Object Repository/Sprint1/Staff-Assing-And-Draft/Page_PettyCashDetail/div_Drag  drop files orBrowseSupported form_a30bce_2""), Lorem2)",Chrome 145.0.7632.160,,,11-03-2026 11:14:50,11-03-2026 11:14:53,3.435s,PASSED
"click(findTestObject(""Object Repository/Sprint1/Staff-Assing-And-Draft/Page_PettyCashDetail/button_Unggah_3""))",Chrome 145.0.7632.160,,,11-03-2026 11:14:53,11-03-2026 11:14:54,0.914s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/Sprint1/Staff-Assing-And-Draft/Page_PettyCashDetail/select_Pilih kategori temuanRendahSedangTinggi""), ""0"", true)",Chrome 145.0.7632.160,,,11-03-2026 11:14:54,11-03-2026 11:14:56,1.580s,PASSED
"setText(findTestObject(""Object Repository/Sprint1/Staff-Assing-And-Draft/Page_PettyCashDetail/textarea__b3-b3-b8-b8-TextArea_Catatan2""), ""Tinjau kembali"")",Chrome 145.0.7632.160,,,11-03-2026 11:14:56,11-03-2026 11:14:57,1.249s,PASSED
"click(findTestObject(""Object Repository/Sprint1/Staff-Assing-And-Draft/Page_PettyCashDetail/button_Draft_1""))",Chrome 145.0.7632.160,,,11-03-2026 11:14:57,11-03-2026 11:14:58,0.733s,PASSED
delay(5),Chrome 145.0.7632.160,,,11-03-2026 11:14:58,11-03-2026 11:15:03,5.022s,PASSED
,,,,,,,
